date,appVersion,platform,screenPageViews,userEngagementDuration
20250310,(not set),web,161,933
20250306,(not set),web,19,386
20250308,(not set),web,19,501
20250311,(not set),web,18,268
20250220,(not set),web,17,78
20250224,(not set),web,17,74
20250303,(not set),web,15,163
20250227,(not set),web,12,172
20250312,(not set),web,12,88
20250218,(not set),web,11,285
20250221,(not set),web,11,304
20250222,(not set),web,11,288
20250315,(not set),web,11,60
20250319,,web,10,33
20250225,(not set),web,8,44
20250228,(not set),web,6,412
20250216,(not set),web,4,1
20250305,(not set),web,4,21
20250215,(not set),web,3,24
20250226,(not set),web,3,26
20250301,(not set),web,3,6
20250217,(not set),web,2,22
20250304,(not set),web,2,11
20250313,(not set),web,2,9
20250317,(not set),web,2,11
20250318,(not set),web,2,0
20250219,(not set),web,1,14
