date,audienceName,activeUsers,conversions,purchaseRevenue
2025-04-07,All Users,8.0,0.0,0.0
2025-04-12,All Users,8.0,0.0,0.0
2025-03-08,All Users,5.0,0.0,0.0
2025-03-10,All Users,5.0,0.0,0.0
2025-02-16,All Users,4.0,0.0,0.0
2025-02-20,All Users,4.0,0.0,0.0
2025-02-22,All Users,4.0,0.0,0.0
2025-03-03,All Users,4.0,0.0,0.0
2025-03-05,All Users,4.0,0.0,0.0
2025-03-26,All Users,4.0,0.0,0.0
2025-04-08,All Users,4.0,0.0,0.0
2025-02-21,All Users,3.0,0.0,0.0
2025-02-27,All Users,3.0,0.0,0.0
2025-03-01,All Users,3.0,0.0,0.0
2025-03-11,All Users,3.0,0.0,0.0
2025-03-15,All Users,3.0,0.0,0.0
2025-04-03,All Users,3.0,0.0,0.0
2025-04-10,All Users,3.0,0.0,0.0
2025-02-17,All Users,2.0,0.0,0.0
2025-02-18,All Users,2.0,0.0,0.0
2025-02-25,All Users,2.0,0.0,0.0
2025-03-04,All Users,2.0,0.0,0.0
2025-03-12,All Users,2.0,0.0,0.0
2025-03-18,All Users,2.0,0.0,0.0
2025-03-29,All Users,2.0,0.0,0.0
2025-04-14,All Users,2.0,0.0,0.0
2025-02-15,All Users,1.0,0.0,0.0
2025-02-19,All Users,1.0,0.0,0.0
2025-02-24,All Users,1.0,0.0,0.0
2025-02-26,All Users,1.0,0.0,0.0
2025-02-28,All Users,1.0,0.0,0.0
2025-03-06,All Users,1.0,0.0,0.0
2025-03-13,All Users,1.0,0.0,0.0
2025-03-17,All Users,1.0,0.0,0.0
2025-03-19,All Users,1.0,0.0,0.0
2025-03-22,All Users,1.0,0.0,0.0
2025-03-25,All Users,1.0,0.0,0.0
2025-03-27,All Users,1.0,0.0,0.0
2025-03-31,All Users,1.0,0.0,0.0
2025-04-01,All Users,1.0,0.0,0.0
2025-04-02,All Users,1.0,0.0,0.0
2025-04-06,All Users,1.0,0.0,0.0
2025-04-09,All Users,1.0,0.0,0.0
2025-04-13,All Users,1.0,0.0,0.0
2025-04-15,All Users,1.0,0.0,0.0
2025-04-17,All Users,1.0,0.0,0.0
