date,averageSessionDuration,screenPageViewsPerSession,eventCount
20250310,2047.7227113333331,26.833333333333332,313
20250224,1656.88731,17,36
20250226,1380.607132,3,8
20250215,1280.395184,3,8
20250218,847.229168,5.5,27
20250306,698.091552,9.5,36
20250220,636.64659625,4.25,35
20250303,462.85674316666672,2.5,38
20250305,408.07835775,1,12
20250227,392.05531066666668,4,47
20250222,383.23225633333328,1.8333333333333333,30
20250311,354.2829615,4.5,39
20250225,321.368656,4,22
20250308,314.04653216666668,3.1666666666666665,50
20250312,280.85326180000004,2.4,26
20250319,277.347459,10,20
20250315,241.81537066666667,3.6666666666666665,26
20250228,147.00123833333333,1,27
20250313,104.728421,2,4
20250216,55.8151362,0.8,15
20250219,43.769211,1,4
20250221,40.194884,2.2,34
20250217,27.938606,1,8
20250304,24.0434295,1,7
20250317,12.730613,2,6
20250301,8.564905,1,10
20250318,0,1,6
