date,acquisition_source,acquisition_medium,userEngagementDuration,purchaseRevenue,user_lifetime_sessions,user_lifetime_revenue,days_since_first_visit,ltv_bucket
2025-03-10,(direct),(none),933.0,0.0,193.0,0.0,68,none
2025-03-08,google,organic,489.0,0.0,48.0,0.0,70,none
2025-02-28,(direct),(none),412.0,0.0,193.0,0.0,78,none
2025-03-06,(direct),(none),386.0,0.0,193.0,0.0,72,none
2025-05-01,google,organic,319.0,0.0,48.0,0.0,16,none
2025-05-15,(direct),(none),311.0,0.0,193.0,0.0,2,none
2025-02-21,(direct),(none),303.0,0.0,193.0,0.0,85,none
2025-02-22,google,organic,275.0,0.0,48.0,0.0,84,none
2025-05-14,(direct),(none),266.0,0.0,193.0,0.0,3,none
2025-03-11,(direct),(none),264.0,0.0,193.0,0.0,67,none
2025-02-18,(direct),(none),257.0,0.0,193.0,0.0,88,none
2025-04-06,(direct),(none),204.0,0.0,193.0,0.0,41,none
2025-02-27,(direct),(none),172.0,0.0,193.0,0.0,79,none
2025-04-07,(direct),(none),167.0,0.0,193.0,0.0,40,none
2025-05-16,google,organic,166.0,0.0,48.0,0.0,1,none
2025-03-03,(direct),(none),163.0,0.0,193.0,0.0,75,none
2025-05-01,(direct),(none),155.0,0.0,193.0,0.0,16,none
2025-04-12,google,organic,154.0,0.0,48.0,0.0,35,none
2025-04-08,(direct),(none),149.0,0.0,193.0,0.0,39,none
2025-04-24,(direct),(none),135.0,0.0,193.0,0.0,23,none
2025-04-10,(direct),(none),114.0,0.0,193.0,0.0,37,none
2025-04-24,google,organic,110.0,0.0,48.0,0.0,23,none
2025-05-17,(direct),(none),107.0,0.0,193.0,0.0,0,none
2025-04-20,(direct),(none),89.0,0.0,193.0,0.0,27,none
2025-03-12,(direct),(none),88.0,0.0,193.0,0.0,66,none
2025-04-22,(direct),(none),80.0,0.0,193.0,0.0,25,none
2025-02-20,(direct),(none),78.0,0.0,193.0,0.0,86,none
2025-04-12,(direct),(none),78.0,0.0,193.0,0.0,35,none
2025-02-24,(direct),(none),74.0,0.0,193.0,0.0,82,none
2025-05-06,(direct),(none),74.0,0.0,193.0,0.0,11,none
2025-05-04,google,organic,73.0,0.0,48.0,0.0,13,none
2025-04-19,(direct),(none),65.0,0.0,193.0,0.0,28,none
2025-04-08,google,organic,62.0,0.0,48.0,0.0,39,none
2025-05-10,(direct),(none),58.0,0.0,193.0,0.0,7,none
2025-03-15,(direct),(none),56.0,0.0,193.0,0.0,63,none
2025-03-29,(direct),(none),53.0,0.0,193.0,0.0,49,none
2025-04-09,google,organic,51.0,0.0,48.0,0.0,38,none
2025-05-12,(direct),(none),51.0,0.0,193.0,0.0,5,none
2025-03-19,(direct),(none),48.0,0.0,193.0,0.0,59,none
2025-05-03,(direct),(none),45.0,0.0,193.0,0.0,14,none
2025-02-25,(direct),(none),44.0,0.0,193.0,0.0,81,none
2025-04-26,google,organic,44.0,0.0,48.0,0.0,21,none
2025-05-16,(direct),(none),41.0,0.0,193.0,0.0,1,none
2025-04-25,google,organic,35.0,0.0,48.0,0.0,22,none
2025-04-29,google,organic,34.0,0.0,48.0,0.0,18,none
2025-03-27,(direct),(none),31.0,0.0,193.0,0.0,51,none
2025-02-18,google,organic,28.0,0.0,48.0,0.0,88,none
2025-02-26,(direct),(none),26.0,0.0,193.0,0.0,80,none
2025-04-02,(direct),(none),26.0,0.0,193.0,0.0,45,none
2025-04-17,(direct),(none),25.0,0.0,193.0,0.0,30,none
2025-02-15,(direct),(none),24.0,0.0,193.0,0.0,91,none
2025-02-17,facebook.com,referral,22.0,0.0,28.0,0.0,89,none
2025-03-05,(direct),(none),21.0,0.0,193.0,0.0,73,none
2025-05-14,m.facebook.com,referral,21.0,0.0,9.0,0.0,3,none
2025-05-09,m.facebook.com,referral,15.0,0.0,9.0,0.0,8,none
2025-05-16,l.instagram.com,referral,15.0,0.0,1.0,0.0,1,none
2025-02-19,(direct),(none),14.0,0.0,193.0,0.0,87,none
2025-04-03,facebook.com,referral,14.0,0.0,28.0,0.0,44,none
2025-02-22,(direct),(none),13.0,0.0,193.0,0.0,84,none
2025-04-18,(direct),(none),13.0,0.0,193.0,0.0,29,none
2025-04-14,(direct),(none),12.0,0.0,193.0,0.0,33,none
2025-04-26,(direct),(none),12.0,0.0,193.0,0.0,21,none
2025-05-02,(direct),(none),12.0,0.0,193.0,0.0,15,none
2025-03-04,(direct),(none),11.0,0.0,193.0,0.0,74,none
2025-03-17,(direct),(none),11.0,0.0,193.0,0.0,61,none
2025-05-08,google,organic,10.0,0.0,48.0,0.0,9,none
2025-03-13,(direct),(none),9.0,0.0,193.0,0.0,65,none
2025-04-18,google,organic,9.0,0.0,48.0,0.0,29,none
2025-04-23,google,organic,8.0,0.0,48.0,0.0,24,none
2025-04-28,google,organic,8.0,0.0,48.0,0.0,19,none
2025-05-07,m.facebook.com,referral,8.0,0.0,9.0,0.0,10,none
2025-03-08,facebook.com,referral,7.0,0.0,28.0,0.0,70,none
2025-03-31,facebook.com,referral,7.0,0.0,28.0,0.0,47,none
2025-04-18,facebook.com,referral,7.0,0.0,28.0,0.0,29,none
2025-05-06,m.facebook.com,referral,7.0,0.0,9.0,0.0,11,none
2025-05-15,m.facebook.com,referral,7.0,0.0,9.0,0.0,2,none
2025-03-01,facebook.com,referral,6.0,0.0,28.0,0.0,77,none
2025-04-19,google,organic,6.0,0.0,48.0,0.0,28,none
2025-03-08,(direct),(none),5.0,0.0,193.0,0.0,70,none
2025-04-28,(direct),(none),5.0,0.0,193.0,0.0,19,none
2025-04-30,(direct),(none),5.0,0.0,193.0,0.0,17,none
2025-05-09,(direct),(none),5.0,0.0,193.0,0.0,8,none
2025-03-11,facebook.com,referral,4.0,0.0,28.0,0.0,67,none
2025-03-15,facebook.com,referral,4.0,0.0,28.0,0.0,63,none
2025-04-07,facebook.com,referral,4.0,0.0,28.0,0.0,40,none
2025-04-23,facebook.com,referral,4.0,0.0,28.0,0.0,24,none
2025-05-17,(not set),(not set),4.0,0.0,2.0,0.0,0,none
2025-03-26,incrementors.com,referral,3.0,0.0,1.0,0.0,52,none
2025-04-10,facebook.com,referral,3.0,0.0,28.0,0.0,37,none
2025-05-08,(direct),(none),3.0,0.0,193.0,0.0,9,none
2025-05-02,facebook.com,referral,2.0,0.0,28.0,0.0,15,none
2025-02-16,(direct),(none),1.0,0.0,193.0,0.0,90,none
2025-02-21,facebook.com,referral,1.0,0.0,28.0,0.0,85,none
