date,firstUserSource,firstUserMedium,sessions,activeUsers,conversions
2025-05-04,(direct),(none),13.0,13.0,0.0
2025-04-12,(direct),(none),11.0,7.0,0.0
2025-04-20,(direct),(none),10.0,6.0,0.0
2025-04-07,(direct),(none),7.0,5.0,0.0
2025-04-19,(direct),(none),7.0,5.0,0.0
2025-05-17,(direct),(none),7.0,6.0,0.0
2025-03-03,(direct),(none),6.0,4.0,0.0
2025-03-10,(direct),(none),6.0,5.0,0.0
2025-04-24,(direct),(none),6.0,5.0,0.0
2025-05-01,(direct),(none),6.0,6.0,0.0
2025-02-16,(direct),(none),5.0,4.0,0.0
2025-05-04,bing,organic,5.0,5.0,0.0
2025-02-20,(direct),(none),4.0,4.0,0.0
2025-02-21,(direct),(none),4.0,2.0,0.0
2025-02-22,google,organic,4.0,2.0,0.0
2025-02-28,google,organic,4.0,0.0,0.0
2025-03-05,(direct),(none),4.0,4.0,0.0
2025-04-08,google,organic,4.0,2.0,0.0
2025-05-06,(direct),(none),4.0,4.0,0.0
2025-05-14,(direct),(none),4.0,4.0,0.0
2025-02-27,(direct),(none),3.0,3.0,0.0
2025-03-08,(direct),(none),3.0,3.0,0.0
2025-03-11,(direct),(none),3.0,2.0,0.0
2025-03-12,google,organic,3.0,1.0,0.0
2025-03-26,(direct),(none),3.0,3.0,0.0
2025-03-29,(direct),(none),3.0,2.0,0.0
2025-04-08,(direct),(none),3.0,2.0,0.0
2025-04-09,google,organic,3.0,1.0,0.0
2025-04-18,(direct),(none),3.0,3.0,0.0
2025-05-01,google,organic,3.0,2.0,0.0
2025-05-03,(direct),(none),3.0,3.0,0.0
2025-05-14,m.facebook.com,referral,3.0,3.0,0.0
2025-05-15,(direct),(none),3.0,2.0,0.0
2025-05-16,(direct),(none),3.0,3.0,0.0
2025-05-16,google,organic,3.0,2.0,0.0
2025-02-17,facebook.com,referral,2.0,2.0,0.0
2025-02-22,(direct),(none),2.0,2.0,0.0
2025-02-28,(direct),(none),2.0,1.0,0.0
2025-03-01,(direct),(none),2.0,2.0,0.0
2025-03-06,(direct),(none),2.0,1.0,0.0
2025-03-08,google,organic,2.0,1.0,0.0
2025-03-12,(direct),(none),2.0,1.0,0.0
2025-03-18,facebook.com,referral,2.0,2.0,0.0
2025-04-01,(direct),(none),2.0,1.0,0.0
2025-04-02,(direct),(none),2.0,1.0,0.0
2025-04-03,facebook.com,referral,2.0,2.0,0.0
2025-04-03,google,organic,2.0,0.0,0.0
2025-04-04,(direct),(none),2.0,0.0,0.0
2025-04-07,facebook.com,referral,2.0,2.0,0.0
2025-04-10,(direct),(none),2.0,2.0,0.0
2025-04-12,google,organic,2.0,1.0,0.0
2025-04-14,(direct),(none),2.0,1.0,0.0
2025-04-15,(direct),(none),2.0,1.0,0.0
2025-04-17,(direct),(none),2.0,1.0,0.0
2025-04-19,google,organic,2.0,1.0,0.0
2025-04-22,(direct),(none),2.0,1.0,0.0
2025-04-25,google,organic,2.0,1.0,0.0
2025-04-26,(direct),(none),2.0,2.0,0.0
2025-04-26,google,organic,2.0,1.0,0.0
2025-04-29,(direct),(none),2.0,1.0,0.0
2025-04-29,google,organic,2.0,1.0,0.0
2025-04-30,(direct),(none),2.0,2.0,0.0
2025-05-02,(direct),(none),2.0,1.0,0.0
2025-05-02,facebook.com,referral,2.0,2.0,0.0
2025-05-05,facebook.com,referral,2.0,2.0,0.0
2025-05-07,(direct),(none),2.0,2.0,0.0
2025-05-08,google,organic,2.0,1.0,0.0
2025-05-09,(direct),(none),2.0,2.0,0.0
2025-05-09,m.facebook.com,referral,2.0,2.0,0.0
2025-05-17,(not set),(not set),2.0,2.0,0.0
2025-02-15,(direct),(none),1.0,1.0,0.0
2025-02-18,(direct),(none),1.0,1.0,0.0
2025-02-18,google,organic,1.0,1.0,0.0
2025-02-19,(direct),(none),1.0,1.0,0.0
2025-02-21,facebook.com,referral,1.0,1.0,0.0
2025-02-24,(direct),(none),1.0,1.0,0.0
2025-02-25,(direct),(none),1.0,1.0,0.0
2025-02-25,facebook.com,referral,1.0,1.0,0.0
2025-02-26,(direct),(none),1.0,1.0,0.0
2025-03-01,facebook.com,referral,1.0,1.0,0.0
2025-03-04,(direct),(none),1.0,1.0,0.0
2025-03-04,facebook.com,referral,1.0,1.0,0.0
2025-03-08,facebook.com,referral,1.0,1.0,0.0
2025-03-11,facebook.com,referral,1.0,1.0,0.0
2025-03-13,(direct),(none),1.0,1.0,0.0
2025-03-15,(direct),(none),1.0,1.0,0.0
2025-03-15,facebook.com,referral,1.0,1.0,0.0
2025-03-15,linkedin.com,referral,1.0,1.0,0.0
2025-03-17,(direct),(none),1.0,1.0,0.0
2025-03-19,(direct),(none),1.0,1.0,0.0
2025-03-22,(direct),(none),1.0,0.0,0.0
2025-03-22,facebook.com,referral,1.0,1.0,0.0
2025-03-25,facebook.com,referral,1.0,1.0,0.0
2025-03-26,incrementors.com,referral,1.0,1.0,0.0
2025-03-27,(direct),(none),1.0,1.0,0.0
2025-03-31,facebook.com,referral,1.0,1.0,0.0
2025-04-03,(direct),(none),1.0,1.0,0.0
2025-04-06,(direct),(none),1.0,1.0,0.0
2025-04-07,google,organic,1.0,1.0,0.0
2025-04-10,facebook.com,referral,1.0,1.0,0.0
2025-04-13,(direct),(none),1.0,1.0,0.0
2025-04-14,facebook.com,referral,1.0,1.0,0.0
2025-04-16,google,organic,1.0,0.0,0.0
2025-04-18,facebook.com,referral,1.0,1.0,0.0
2025-04-18,google,organic,1.0,1.0,0.0
2025-04-23,facebook.com,referral,1.0,1.0,0.0
2025-04-23,google,organic,1.0,1.0,0.0
2025-04-24,google,organic,1.0,1.0,0.0
2025-04-25,(direct),(none),1.0,0.0,0.0
2025-04-25,weblist.su,referral,1.0,1.0,0.0
2025-04-28,(direct),(none),1.0,1.0,0.0
2025-04-28,facebook.com,referral,1.0,1.0,0.0
2025-04-28,google,organic,1.0,1.0,0.0
2025-05-04,google,organic,1.0,1.0,0.0
2025-05-06,m.facebook.com,referral,1.0,1.0,0.0
2025-05-07,m.facebook.com,referral,1.0,1.0,0.0
2025-05-08,(direct),(none),1.0,1.0,0.0
2025-05-08,m.facebook.com,referral,1.0,1.0,0.0
2025-05-10,(direct),(none),1.0,1.0,0.0
2025-05-12,(direct),(none),1.0,1.0,0.0
2025-05-13,facebook.com,referral,1.0,1.0,0.0
2025-05-15,m.facebook.com,referral,1.0,1.0,0.0
2025-05-16,l.instagram.com,referral,1.0,1.0,0.0
