clicks,impressions,position
1,19,38.05555555555556
0,40,62.925
0,1,94.0
0,8,80.875
0,4,11.25
0,1,65.0
0,262,46.40014064697609
0,44,82.72972972972973
0,12,77.25
0,233,54.4457928802589
0,35,49.546875
0,93,69.39285714285714
0,5,98.4
0,45,71.57777777777778
0,1,6.0
0,197,38.13095238095238
0,31,78.94047619047619
0,2,65.0
0,3,99.5
0,1,91.0
0,31,97.125
0,2,77.5
0,100,75.6285140562249
0,2,98.0
0,14,86.38461538461539
0,9,92.44444444444444
0,76,89.8076923076923
0,1,101.0
0,2,3.0
0,21,35.861111111111114
0,24,51.86363636363637
0,1,87.0
0,2,101.5
0,1,41.0
0,19,88.63888888888889
0,99,58.32954545454545
0,35,82.34285714285714
0,1,11.0
0,74,9.184895833333334
0,54,7.583333333333333
0,2,7.5
0,1,1.0
0,3,94.0
0,36,63.611111111111114
0,42,52.714285714285715
0,75,49.41216216216216
0,7,79.54166666666667
0,33,84.73456790123457
