date,deviceCategory,browser,activeUsers,sessions
2025-05-04,desktop,Chrome,8.0,8.0
2025-04-12,desktop,Chrome,7.0,12.0
2025-04-07,desktop,Chrome,6.0,7.0
2025-04-20,desktop,Chrome,6.0,10.0
2025-05-01,desktop,Chrome,6.0,7.0
2025-05-17,desktop,Chrome,6.0,7.0
2025-03-08,desktop,Chrome,5.0,6.0
2025-04-18,desktop,Chrome,5.0,5.0
2025-04-19,desktop,Chrome,5.0,8.0
2025-04-24,desktop,Chrome,5.0,5.0
2025-02-20,desktop,Chrome,4.0,4.0
2025-02-22,desktop,Chrome,4.0,6.0
2025-03-26,desktop,Chrome,4.0,4.0
2025-05-04,mobile,Chrome,4.0,4.0
2025-05-04,mobile,Safari,4.0,4.0
2025-05-06,desktop,Chrome,4.0,4.0
2025-05-14,desktop,Chrome,4.0,4.0
2025-02-16,mobile,Chrome,3.0,3.0
2025-02-21,desktop,Chrome,3.0,5.0
2025-02-27,desktop,Chrome,3.0,3.0
2025-03-01,desktop,Chrome,3.0,3.0
2025-03-03,desktop,Chrome,3.0,3.0
2025-03-05,desktop,Chrome,3.0,3.0
2025-04-08,desktop,Chrome,3.0,5.0
2025-04-10,desktop,Chrome,3.0,3.0
2025-04-26,desktop,Chrome,3.0,4.0
2025-04-28,desktop,Chrome,3.0,3.0
2025-05-02,desktop,Chrome,3.0,4.0
2025-05-03,desktop,Chrome,3.0,3.0
2025-05-04,desktop,Firefox,3.0,3.0
2025-05-14,mobile,Safari,3.0,3.0
2025-05-16,desktop,Chrome,3.0,4.0
2025-02-17,desktop,Chrome,2.0,2.0
2025-02-18,desktop,Chrome,2.0,2.0
2025-02-25,desktop,Chrome,2.0,2.0
2025-03-04,desktop,Chrome,2.0,2.0
2025-03-10,desktop,Chrome,2.0,3.0
2025-03-10,mobile,Chrome,2.0,2.0
2025-03-11,desktop,Chrome,2.0,2.0
2025-03-12,desktop,Chrome,2.0,5.0
2025-03-15,desktop,Chrome,2.0,2.0
2025-03-29,desktop,Chrome,2.0,3.0
2025-04-03,desktop,Chrome,2.0,4.0
2025-04-14,desktop,Chrome,2.0,3.0
2025-04-23,desktop,Chrome,2.0,2.0
2025-04-29,desktop,Chrome,2.0,4.0
2025-04-30,desktop,Chrome,2.0,2.0
2025-05-01,mobile,Chrome,2.0,2.0
2025-05-05,desktop,Chrome,2.0,2.0
2025-05-07,desktop,Chrome,2.0,2.0
2025-05-09,desktop,Chrome,2.0,2.0
2025-05-09,mobile,Safari,2.0,2.0
2025-05-16,mobile,Chrome,2.0,2.0
2025-02-15,desktop,Chrome,1.0,1.0
2025-02-16,desktop,Chrome,1.0,2.0
2025-02-19,desktop,Chrome,1.0,1.0
2025-02-24,desktop,Chrome,1.0,1.0
2025-02-26,mobile,Chrome,1.0,1.0
2025-02-28,desktop,Chrome,1.0,6.0
2025-03-03,mobile,Chrome,1.0,3.0
2025-03-05,mobile,Safari,1.0,1.0
2025-03-06,desktop,Chrome,1.0,2.0
2025-03-10,mobile,Safari,1.0,1.0
2025-03-11,mobile,Safari,1.0,2.0
2025-03-13,desktop,Chrome,1.0,1.0
2025-03-15,desktop,Mozilla Compatible Agent,1.0,1.0
2025-03-17,desktop,Chrome,1.0,1.0
2025-03-18,desktop,Chrome,1.0,1.0
2025-03-18,desktop,Opera,1.0,1.0
2025-03-19,desktop,Chrome,1.0,1.0
2025-03-22,desktop,Firefox,1.0,1.0
2025-03-25,desktop,Chrome,1.0,1.0
2025-03-27,desktop,Chrome,1.0,1.0
2025-03-31,desktop,Chrome,1.0,1.0
2025-04-01,mobile,Chrome,1.0,2.0
2025-04-02,desktop,Chrome,1.0,1.0
2025-04-03,mobile,Chrome,1.0,1.0
2025-04-06,desktop,Chrome,1.0,1.0
2025-04-07,desktop,Firefox,1.0,2.0
2025-04-07,mobile,Opera,1.0,1.0
2025-04-08,desktop,Firefox,1.0,1.0
2025-04-09,desktop,Chrome,1.0,3.0
2025-04-12,desktop,Firefox,1.0,1.0
2025-04-13,desktop,Chrome,1.0,1.0
2025-04-15,mobile,Safari,1.0,1.0
2025-04-17,desktop,Chrome,1.0,2.0
2025-04-19,mobile,Chrome,1.0,1.0
2025-04-22,mobile,Chrome,1.0,1.0
2025-04-24,mobile,Safari,1.0,1.0
2025-04-25,desktop,Chrome,1.0,2.0
2025-04-25,desktop,Firefox,1.0,2.0
2025-05-03,desktop,Edge,1.0,1.0
2025-05-06,mobile,Safari,1.0,1.0
2025-05-07,mobile,Safari,1.0,1.0
2025-05-08,desktop,Chrome,1.0,1.0
2025-05-08,mobile,Chrome,1.0,2.0
2025-05-08,mobile,Safari,1.0,1.0
2025-05-10,desktop,Chrome,1.0,1.0
2025-05-12,desktop,Chrome,1.0,1.0
2025-05-13,desktop,Chrome,1.0,1.0
2025-05-15,desktop,Chrome,1.0,1.0
2025-05-15,mobile,Chrome,1.0,2.0
2025-05-15,mobile,Safari,1.0,1.0
2025-05-16,mobile,Android Webview,1.0,1.0
2025-05-17,mobile,Chrome,1.0,1.0
2025-03-22,desktop,Chrome,0.0,1.0
2025-04-02,mobile,Chrome,0.0,1.0
2025-04-04,desktop,Chrome,0.0,1.0
2025-04-04,mobile,Chrome,0.0,1.0
2025-04-08,mobile,Chrome,0.0,1.0
2025-04-15,desktop,Chrome,0.0,1.0
2025-04-16,desktop,Chrome,0.0,1.0
2025-04-22,desktop,Chrome,0.0,1.0
2025-04-24,desktop,Firefox,0.0,1.0
