date,firstUserSource,firstUserMedium,activeUsers,userEngagementDuration
2025-05-04,(direct),(none),13.0,0.0
2025-04-12,(direct),(none),7.0,78.0
2025-04-20,(direct),(none),6.0,89.0
2025-05-01,(direct),(none),6.0,155.0
2025-05-17,(direct),(none),6.0,107.0
2025-03-10,(direct),(none),5.0,933.0
2025-04-07,(direct),(none),5.0,167.0
2025-04-19,(direct),(none),5.0,65.0
2025-04-24,(direct),(none),5.0,135.0
2025-05-04,bing,organic,5.0,0.0
2025-02-16,(direct),(none),4.0,1.0
2025-02-20,(direct),(none),4.0,78.0
2025-03-03,(direct),(none),4.0,163.0
2025-03-05,(direct),(none),4.0,21.0
2025-05-06,(direct),(none),4.0,74.0
2025-05-14,(direct),(none),4.0,266.0
2025-02-27,(direct),(none),3.0,172.0
2025-03-08,(direct),(none),3.0,5.0
2025-03-26,(direct),(none),3.0,0.0
2025-04-18,(direct),(none),3.0,13.0
2025-05-03,(direct),(none),3.0,45.0
2025-05-14,m.facebook.com,referral,3.0,21.0
2025-05-16,(direct),(none),3.0,41.0
2025-02-17,facebook.com,referral,2.0,22.0
2025-02-21,(direct),(none),2.0,303.0
2025-02-22,(direct),(none),2.0,13.0
2025-02-22,google,organic,2.0,275.0
2025-03-01,(direct),(none),2.0,0.0
2025-03-11,(direct),(none),2.0,264.0
2025-03-18,facebook.com,referral,2.0,0.0
2025-03-29,(direct),(none),2.0,53.0
2025-04-03,facebook.com,referral,2.0,14.0
2025-04-07,facebook.com,referral,2.0,4.0
2025-04-08,(direct),(none),2.0,149.0
2025-04-08,google,organic,2.0,62.0
2025-04-10,(direct),(none),2.0,114.0
2025-04-26,(direct),(none),2.0,12.0
2025-04-30,(direct),(none),2.0,5.0
2025-05-01,google,organic,2.0,319.0
2025-05-02,facebook.com,referral,2.0,2.0
2025-05-05,facebook.com,referral,2.0,0.0
2025-05-07,(direct),(none),2.0,0.0
2025-05-09,(direct),(none),2.0,5.0
2025-05-09,m.facebook.com,referral,2.0,15.0
2025-05-15,(direct),(none),2.0,311.0
2025-05-16,google,organic,2.0,166.0
2025-05-17,(not set),(not set),2.0,4.0
2025-02-15,(direct),(none),1.0,24.0
2025-02-18,(direct),(none),1.0,257.0
2025-02-18,google,organic,1.0,28.0
2025-02-19,(direct),(none),1.0,14.0
2025-02-21,facebook.com,referral,1.0,1.0
2025-02-24,(direct),(none),1.0,74.0
2025-02-25,(direct),(none),1.0,44.0
2025-02-25,facebook.com,referral,1.0,0.0
2025-02-26,(direct),(none),1.0,26.0
2025-02-28,(direct),(none),1.0,412.0
2025-03-01,facebook.com,referral,1.0,6.0
2025-03-04,(direct),(none),1.0,11.0
2025-03-04,facebook.com,referral,1.0,0.0
2025-03-06,(direct),(none),1.0,386.0
2025-03-08,facebook.com,referral,1.0,7.0
2025-03-08,google,organic,1.0,489.0
2025-03-11,facebook.com,referral,1.0,4.0
2025-03-12,(direct),(none),1.0,88.0
2025-03-12,google,organic,1.0,0.0
2025-03-13,(direct),(none),1.0,9.0
2025-03-15,(direct),(none),1.0,56.0
2025-03-15,facebook.com,referral,1.0,4.0
2025-03-15,linkedin.com,referral,1.0,0.0
2025-03-17,(direct),(none),1.0,11.0
2025-03-19,(direct),(none),1.0,48.0
2025-03-22,facebook.com,referral,1.0,0.0
2025-03-25,facebook.com,referral,1.0,0.0
2025-03-26,incrementors.com,referral,1.0,3.0
2025-03-27,(direct),(none),1.0,31.0
2025-03-31,facebook.com,referral,1.0,7.0
2025-04-01,(direct),(none),1.0,0.0
2025-04-02,(direct),(none),1.0,26.0
2025-04-03,(direct),(none),1.0,0.0
2025-04-06,(direct),(none),1.0,204.0
2025-04-07,google,organic,1.0,0.0
2025-04-09,google,organic,1.0,51.0
2025-04-10,facebook.com,referral,1.0,3.0
2025-04-12,google,organic,1.0,154.0
2025-04-13,(direct),(none),1.0,0.0
2025-04-14,(direct),(none),1.0,12.0
2025-04-14,facebook.com,referral,1.0,0.0
2025-04-15,(direct),(none),1.0,0.0
2025-04-17,(direct),(none),1.0,25.0
2025-04-18,facebook.com,referral,1.0,7.0
2025-04-18,google,organic,1.0,9.0
2025-04-19,google,organic,1.0,6.0
2025-04-22,(direct),(none),1.0,80.0
2025-04-23,facebook.com,referral,1.0,4.0
2025-04-23,google,organic,1.0,8.0
2025-04-24,google,organic,1.0,110.0
2025-04-25,google,organic,1.0,35.0
2025-04-25,weblist.su,referral,1.0,0.0
2025-04-26,google,organic,1.0,44.0
2025-04-28,(direct),(none),1.0,5.0
2025-04-28,facebook.com,referral,1.0,0.0
2025-04-28,google,organic,1.0,8.0
2025-04-29,(direct),(none),1.0,0.0
2025-04-29,google,organic,1.0,34.0
2025-05-02,(direct),(none),1.0,12.0
2025-05-04,google,organic,1.0,73.0
2025-05-06,m.facebook.com,referral,1.0,7.0
2025-05-07,m.facebook.com,referral,1.0,8.0
2025-05-08,(direct),(none),1.0,3.0
2025-05-08,google,organic,1.0,10.0
2025-05-08,m.facebook.com,referral,1.0,0.0
2025-05-10,(direct),(none),1.0,58.0
2025-05-12,(direct),(none),1.0,51.0
2025-05-13,facebook.com,referral,1.0,0.0
2025-05-15,m.facebook.com,referral,1.0,7.0
2025-05-16,l.instagram.com,referral,1.0,15.0
