date,activeUsers,engagedSessions,sessions
2025-05-04,19.0,1.0,19.0
2025-04-07,8.0,5.0,10.0
2025-04-12,8.0,5.0,13.0
2025-05-01,8.0,8.0,9.0
2025-05-14,7.0,6.0,7.0
2025-05-17,7.0,1.0,8.0
2025-04-19,6.0,7.0,9.0
2025-04-20,6.0,3.0,10.0
2025-04-24,6.0,3.0,7.0
2025-05-16,6.0,4.0,7.0
2025-03-08,5.0,3.0,6.0
2025-03-10,5.0,3.0,6.0
2025-04-18,5.0,3.0,5.0
2025-05-06,5.0,2.0,5.0
2025-02-16,4.0,1.0,5.0
2025-02-20,4.0,3.0,4.0
2025-02-22,4.0,3.0,6.0
2025-03-03,4.0,2.0,6.0
2025-03-05,4.0,1.0,4.0
2025-03-26,4.0,1.0,4.0
2025-04-08,4.0,5.0,7.0
2025-05-09,4.0,3.0,4.0
2025-02-21,3.0,2.0,5.0
2025-02-27,3.0,3.0,3.0
2025-03-01,3.0,1.0,3.0
2025-03-11,3.0,2.0,4.0
2025-03-15,3.0,2.0,3.0
2025-04-03,3.0,3.0,5.0
2025-04-10,3.0,2.0,3.0
2025-04-26,3.0,2.0,4.0
2025-04-28,3.0,1.0,3.0
2025-05-02,3.0,2.0,4.0
2025-05-03,3.0,3.0,3.0
2025-05-07,3.0,1.0,3.0
2025-05-08,3.0,1.0,4.0
2025-05-15,3.0,3.0,4.0
2025-02-17,2.0,2.0,2.0
2025-02-18,2.0,2.0,2.0
2025-02-25,2.0,1.0,2.0
2025-03-04,2.0,1.0,2.0
2025-03-12,2.0,2.0,5.0
2025-03-18,2.0,0.0,2.0
2025-03-29,2.0,2.0,3.0
2025-04-14,2.0,1.0,3.0
2025-04-23,2.0,2.0,2.0
2025-04-25,2.0,1.0,4.0
2025-04-29,2.0,2.0,4.0
2025-04-30,2.0,1.0,2.0
2025-05-05,2.0,0.0,2.0
2025-02-15,1.0,1.0,1.0
2025-02-19,1.0,1.0,1.0
2025-02-24,1.0,1.0,1.0
2025-02-26,1.0,1.0,1.0
2025-02-28,1.0,2.0,6.0
2025-03-06,1.0,2.0,2.0
2025-03-13,1.0,1.0,1.0
2025-03-17,1.0,1.0,1.0
2025-03-19,1.0,1.0,1.0
2025-03-22,1.0,0.0,2.0
2025-03-25,1.0,0.0,1.0
2025-03-27,1.0,1.0,1.0
2025-03-31,1.0,1.0,1.0
2025-04-01,1.0,0.0,2.0
2025-04-02,1.0,1.0,2.0
2025-04-06,1.0,1.0,1.0
2025-04-09,1.0,1.0,3.0
2025-04-13,1.0,0.0,1.0
2025-04-15,1.0,0.0,2.0
2025-04-17,1.0,1.0,2.0
2025-04-22,1.0,1.0,2.0
2025-05-10,1.0,1.0,1.0
2025-05-12,1.0,1.0,1.0
2025-05-13,1.0,0.0,1.0
2025-04-04,0.0,0.0,2.0
2025-04-16,0.0,0.0,1.0
