Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2025-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-19,15,0,15,10,0,0,0,1,0,1,0,0,0,0,0,0,0.066666667,0,0.066666667
2025-02-20,22,0,22,2,0,0,0,1,0,1,0,0,0,0,0,0,0.045454545,0,0.045454545
2025-02-21,77,0,77,6,1,0,1,0,0,0,0,0,0,0,0,0,0.012987013,0,0.012987013
2025-02-22,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-23,21,0,21,2,1,0,1,2,0,2,0,0,0,0,0,0,0.142857143,0,0.142857143
2025-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-25,33,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-27,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-01,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-05,6,0,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0.166666667,0,0.166666667
2025-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-07,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-08,30,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-09,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-10,29,0,29,2,1,0,1,3,0,3,0,0,0,0,0,0,0.137931034,0,0.137931034
2025-03-11,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-12,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-14,34,0,34,4,2,0,2,0,0,0,0,0,0,0,0,0,0.058823529,0,0.058823529
2025-03-15,11,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-16,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-17,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-18,10,0,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0.1
2025-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
