Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
02/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/05/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/07/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/10/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/12/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/13/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/15/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/18/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/19/2025,15,0,15,10,0,0,0,1,0,1,0,0,0,0,0,0,0.066666667,0,0.066666667
02/20/2025,22,0,22,2,0,0,0,1,0,1,0,0,0,0,0,0,0.045454545,0,0.045454545
02/21/2025,77,0,77,6,1,0,1,0,0,0,0,0,0,0,0,0,0.012987013,0,0.012987013
02/22/2025,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/23/2025,21,0,21,2,1,0,1,2,0,2,0,0,0,0,0,0,0.142857143,0,0.142857143
02/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/25/2025,33,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/26/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/27/2025,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
02/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/01/2025,5,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/02/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/04/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/05/2025,6,0,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0.166666667,0,0.166666667
03/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/07/2025,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/08/2025,30,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/09/2025,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/10/2025,29,0,29,2,1,0,1,3,0,3,0,0,0,0,0,0,0.137931034,0,0.137931034
03/11/2025,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/12/2025,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/13/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/14/2025,34,0,34,4,2,0,2,0,0,0,0,0,0,0,0,0,0.058823529,0,0.058823529
03/15/2025,11,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/16/2025,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/17/2025,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/18/2025,10,0,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0.1,0,0.1
03/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/22/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/23/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/25/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/26/2025,8,0,8,5,0,0,0,1,0,1,0,0,0,0,0,0,0.125,0,0.125
03/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/28/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/29/2025,16,0,16,1,2,0,2,0,0,0,0,0,0,0,0,0,0.125,0,0.125
03/30/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
03/31/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/03/2025,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/04/2025,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/05/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/06/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/07/2025,34,0,34,2,0,0,0,6,0,6,0,0,0,0,0,0,0.176470588,0,0.176470588
04/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/10/2025,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/11/2025,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/12/2025,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/13/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/14/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/15/2025,13,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/16/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/17/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/18/2025,9,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/19/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/20/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/21/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/22/2025,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/23/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/24/2025,5,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0.2,0,0.2
04/25/2025,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/26/2025,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/27/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/29/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
04/30/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
05/01/2025,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
05/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
